Record,Country,Country Secondary Subdivision,Country Subdivision,Subdivision Name,Postal Code,Address,Local Name,Municipality,Municipality Subdivision,entryPoints_0_functions_0,Latitude,Longtitude,poi_brands_1_name,POI Name,URL,Source,Store Name
3810,United States,Fairfield,CT,Connecticut,06850-3301,"717 West Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11611,-73.41488,,Key Food,www.keyfood.com/,Azure Maps,
3710,United States,Fairfield,CT,Connecticut,06850-3301,"717 West Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11611,-73.41488,,Pioneer Supermarket,www.pioneersupermarkets.com/,Azure Maps,
1411533,United States,Fairfield,CT,Connecticut,06850-3213,"47 Grandview Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.11681,-73.42756,,Grandview Finest Grocery,www.cafepress.com/ojoplusimi,Azure Maps,
11533,United States,Fairfield,CT,Connecticut,06851-4721,"36 Main Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.11943,-73.41276,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
111533,United States,Fairfield,CT,Connecticut,06851-4703,"61 Main Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12026,-73.41299,,Main Street Grocery,,Azure Maps,
211533,United States,Fairfield,CT,Connecticut,06851-4703,"71 Main Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12048,-73.41304,,Maximo Deli & Grocery,,Azure Maps,
3110,United States,Fairfield,CT,Connecticut,06851-4703,"75 Main Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12114,-73.41322,,Nicholas Roberts Fine Foods,,Azure Maps,
4011533,United States,Fairfield,CT,Connecticut,06880-5916,"580 Riverside Avenue, Westport, CT 06880",Westport,Westport,,,41.12134,-73.37036,,CM Gourmet Market,,Azure Maps,
311533,United States,Fairfield,CT,Connecticut,,"100 Westport Avenue, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12151,-73.40494,,Stew Leonard's,www.StewLeonards.com,Azure Maps,
4211533,United States,Fairfield,CT,Connecticut,06880-5703,"544 Riverside Avenue, Westport, CT 06880",Westport,Westport,,,41.12257,-73.37043,,Municipal Market Advisors,www.mma-research.com,Azure Maps,
2710,United States,Fairfield,CT,Connecticut,06851-4617,"112 Main Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12303,-73.41564,,Krysshanna Krysshanna,,Azure Maps,
3911533,United States,Fairfield,CT,Connecticut,06880-5700,"20 Saugatuck Avenue, Westport, CT 06880",Westport,Westport,,,41.12389,-73.37247,,Fast Stop Food Mart,,Azure Maps,
1611533,United States,Fairfield,CT,Connecticut,,"444 Westport Avenue, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12654,-73.38888,,Stew Leonard's,www.stewleonards.com,Azure Maps,
1811533,United States,Fairfield,CT,Connecticut,06851-4424,"480 Westport Avenue, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12707,-73.38663,,AP Foods,,Azure Maps,
2111533,United States,Fairfield,CT,Connecticut,06851-4411,"517 Westport Avenue, Norwalk, CT 06851",Norwalk,Norwalk,,,41.12738,-73.38523,,Gateway Country,,Azure Maps,
2611533,United States,Fairfield,CT,Connecticut,06880-4706,"399 Post Road West, Westport, CT 06880",Westport,Westport,,,41.12858,-73.38125,,Whole Foods Market,www.wholefoodsmarket.com/stores/westport,Azure Maps,
2911533,United States,Fairfield,CT,Connecticut,06880-4701,"361 Post Road West, Westport, CT 06880",Westport,Westport,,,41.12968,-73.37848,,As Fine Foods,,Azure Maps,
2011533,United States,Fairfield,CT,Connecticut,,"26 Broad Street, Norwalk, CT 06851",Norwalk,Norwalk,,,41.13101,-73.42725,,Alex Food Mart,,Azure Maps,
7911533,United States,Fairfield,CT,Connecticut,06880-5683,"1790 Post Road East, Westport, CT 06880",Westport,Westport,,,41.13835,-73.30227,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
8011533,United States,Fairfield,CT,Connecticut,06880-5683,"1790 Post Road East, Westport, CT 06880",Westport,Westport,,,41.13835,-73.30227,,Super Stop & Shop,stores.stopandshop.com/ct/westport/1790-post-road-east,Azure Maps,
8311533,United States,Fairfield,CT,Connecticut,06890-1307,"3300 Post Road, Southport, CT 06890",Southport,Fairfield,,,41.13844,-73.2903,,Quick Steps,,Azure Maps,
6511533,United States,Fairfield,CT,Connecticut,06880-4546,"605 Post Road East, Westport, CT 06880",Westport,Westport,,,41.13866,-73.34464,,The Fresh Market,t.co/WtmIyKGlID,Azure Maps,
7111533,United States,Fairfield,CT,Connecticut,06880-5300,"1046 Post Road East, Westport, CT 06880",Westport,Westport,,,41.13891,-73.32874,,Taylors Floral Arts & Gift,,Azure Maps,
6111533,United States,Fairfield,CT,Connecticut,06880-4402,"400 Post Road East, Westport, CT 06880",Westport,Westport,,,41.14016,-73.35178,,Trader Joe's,locations.traderjoes.com/ct/westport/521/,Azure Maps,
3111533,United States,Fairfield,CT,Connecticut,,"380 Main Avenue, Norwalk, CT 06851",Norwalk,Norwalk,,,41.14132,-73.42578,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
3211533,United States,Fairfield,CT,Connecticut,,"380 Main Avenue, Norwalk, CT 06851",Norwalk,Norwalk,,,41.14132,-73.42578,,Super Stop & Shop,stores.stopandshop.com/ct/norwalk/380-main-avenue,Azure Maps,
5711533,United States,Fairfield,CT,Connecticut,06880-3402,"49 Main Street, Westport, CT 06880",Westport,Westport,,,41.14207,-73.36159,,Lucky Brand,stores.luckybrand.com/lucky-brand-2aa6dbdf7c7d,Azure Maps,
4411533,United States,Fairfield,CT,Connecticut,06850-1202,"20 Glover Avenue, Norwalk, CT 06850",Norwalk,Norwalk,,,41.14343,-73.42742,,E N R Services,,Azure Maps,
5811533,United States,Fairfield,CT,Connecticut,06880-3201,"12 Avery Place, Westport, CT 06880",Westport,Westport,,,41.14423,-73.36122,,Quorn Foods,,Azure Maps,
110,United States,Fairfield,CT,Connecticut,06840-5409,"75 Pine Street, New Canaan, CT 06840",New Canaan,New Canaan,,,41.14441,-73.49747,,Pine St Concession,,Azure Maps,
6011533,United States,Fairfield,CT,Connecticut,06880-3206,"225 Main Street, Westport, CT 06880",Westport,Westport,,,41.14542,-73.36134,,Bmo Capital Market,Bmocm.com,Azure Maps,
210,United States,Fairfield,CT,Connecticut,06840-5313,"280 Elm Street, New Canaan, CT 06840",New Canaan,New Canaan,,,41.14553,-73.50051,,ACME Markets,local.acmemarkets.com/ct/new-canaan/288-elm-st.html,Azure Maps,
10,United States,Fairfield,CT,Connecticut,06840-5505,"2 Morse Court, New Canaan, CT 06840",New Canaan,New Canaan,,,41.14651,-73.49311,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
4711533,United States,Fairfield,CT,Connecticut,06851-2537,"343 Newtown Avenue, Norwalk, CT 06851",Norwalk,Norwalk,,,41.14657,-73.39432,,Cranbury Market IGA,www.cranburymarket.iga.com,Azure Maps,
8611533,United States,Fairfield,CT,Connecticut,06890-1292,"355 Acorn Lane, Southport, CT 06890",Southport,Fairfield,,,41.14758,-73.2903,,Connecticut Capitol Markets,,Azure Maps,
7011533,United States,Fairfield,CT,Connecticut,06880-3702,"46 Colony Road, Westport, CT 06880",Westport,Westport,,,41.14878,-73.33549,,Free Line Organic,,Azure Maps,
5211533,United States,Fairfield,CT,Connecticut,06851-1027,"101 Merritt 7, Norwalk, CT 06851",Norwalk,Norwalk,,,41.14978,-73.42588,,Hu Foods,,Azure Maps,
410,United States,Fairfield,CT,Connecticut,06850-1128,"25 Old Kings Highway, Norwalk, CT 06850",Norwalk,Norwalk,,,41.15192,-73.44568,,Gloval Pet Foods,,Azure Maps,
5511533,United States,Fairfield,CT,Connecticut,06880-1833,"73 Partrick Road, Westport, CT 06880",Westport,Westport,,,41.15243,-73.38448,,Stop & Shop,www.stopandshop.com,Azure Maps,
310,United States,Fairfield,CT,Connecticut,06840-4339,"941 Silvermine Road, New Canaan, CT 06840",New Canaan,New Canaan,,,41.15354,-73.45199,,Nito,www.rvminc.com,Azure Maps,
1810,United States,Fairfield,CT,Connecticut,06851-1126,"650 Main Avenue, Norwalk, CT 06851",Norwalk,Norwalk,,,41.15902,-73.41956,,Walmart,www.walmart.com/store/2954/norwalk-ct/details,Azure Maps,
6311533,United States,Fairfield,CT,Connecticut,06880-1909,"268 Wilton Road, Westport, CT 06880",Westport,Westport,,,41.15962,-73.37498,,Corolle,,Azure Maps,
5719255,United States,Fairfield,CT,Connecticut,06604-5617,"5 Park Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.16291,-73.18951,,Park Ave Super Market,,Azure Maps,
9819255,United States,Fairfield,CT,Connecticut,06605-2410,"460 Bird Street, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.16293,-73.21481,,Mini Rite,,Azure Maps,
3919255,United States,Fairfield,CT,Connecticut,06604-5351,"204 Walnut Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.16611,-73.19714,,Walnut Grocery,,Azure Maps,
2719255,United States,Fairfield,CT,Connecticut,06604-5847,"156 Columbia Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.16746,-73.19585,,Laziza Market,,Azure Maps,
2419255,United States,Fairfield,CT,Connecticut,06604-5449,"375 Park Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.1676,-73.19306,,Park Ave Super Market,,Azure Maps,
9719255,United States,Fairfield,CT,Connecticut,,"1859 Commerce Drive, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.16816,-73.21769,,Bresky Henry & Sons,,Azure Maps,
1319255,United States,Fairfield,CT,Connecticut,06604-5522,"321 Main Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.16904,-73.18647,,Captains Food Mart,,Azure Maps,
4919255,United States,Fairfield,CT,Connecticut,06605-1708,"1218 State Street, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17112,-73.20694,,Bangla Bazar Halal Meat,,Azure Maps,
4719255,United States,Fairfield,CT,Connecticut,06605-1709,"1226 State Street, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17116,-73.2068,,State Street Supermarket,www.upperstatestreet.org,Azure Maps,
1419255,United States,Fairfield,CT,Connecticut,06605-1240,"127 Lewis Street, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17147,-73.1986,,Conchitas Grocery,,Azure Maps,
4419255,United States,Fairfield,CT,Connecticut,06605-1507,"1160 State Street, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17148,-73.20581,,De Castillo Grocery,,Azure Maps,
5819255,United States,Fairfield,CT,Connecticut,06607-2205,"239 Newfield Avenue, Bridgeport, CT 06607",Bridgeport,Bridgeport,East Side,,41.17224,-73.16908,,Garcia Market,,Azure Maps,
2519255,United States,Fairfield,CT,Connecticut,06605-1504,"965 State Street, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17247,-73.2028,,Sabbir Supermarket,,Azure Maps,
6219255,United States,Fairfield,CT,Connecticut,06605-1928,"1437 Fairfield Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17258,-73.21079,,Laylas Market,,Azure Maps,
1719255,United States,Fairfield,CT,Connecticut,06604-3723,"875 State Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.17305,-73.20088,,Allison Market,,Azure Maps,
1819255,United States,Fairfield,CT,Connecticut,06604-3723,"875 State Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.17305,-73.20088,,Mike's Market,,Azure Maps,
9119255,United States,Fairfield,CT,Connecticut,06605-1638,"999 Maplewood Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17332,-73.21693,,La Parada Market,,Azure Maps,
5219255,United States,Fairfield,CT,Connecticut,06605-1742,"387 Clinton Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17333,-73.20847,,Fairfield,www.fairfield.edu,Azure Maps,
1019255,United States,Fairfield,CT,Connecticut,06604-3701,"856 Fairfield Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.17451,-73.20105,,Sk Grocery,,Azure Maps,
8819255,United States,Fairfield,CT,Connecticut,06605-1610,"787 Beechwood Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.1752,-73.21703,,DMB,,Azure Maps,
8719255,United States,Fairfield,CT,Connecticut,06605-1610,"787 Beechwood Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.1752,-73.21703,,Junco Market,,Azure Maps,
6919255,United States,Fairfield,CT,Connecticut,06605-1603,"730 Maplewood Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17564,-73.21326,,DR Asian Grocery,www.drasiangrocery.com,Azure Maps,
419255,United States,Fairfield,CT,Connecticut,06604-3900,"609 Fairfield Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,Downtown Bridgeport,,41.17578,-73.19712,,El MISMO Primo,,Azure Maps,
7819255,United States,Fairfield,CT,Connecticut,06604-2307,"648 Beechwood Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.17646,-73.21503,,Beachwood Market,,Azure Maps,
7919255,United States,Fairfield,CT,Connecticut,06604-2307,"648 Beechwood Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.17646,-73.21503,,Beechwood Grocery Store,,Azure Maps,
6019255,United States,Fairfield,CT,Connecticut,06607-1723,"634 Newfield Avenue, Bridgeport, CT 06607",Bridgeport,Bridgeport,East End,,41.17726,-73.16719,,Francy & Lily Mini MA,,Azure Maps,
2819255,United States,Fairfield,CT,Connecticut,,"258 Wood Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.1774,-73.20594,,West End Mini Mart,,Azure Maps,
2019255,United States,Fairfield,CT,Connecticut,06605-1046,"129 Wood Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17748,-73.20361,,Adan Market,,Azure Maps,
1919255,United States,Fairfield,CT,Connecticut,06605-1046,"129 Wood Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17748,-73.20361,,J & M Grocery,,Azure Maps,
819255,United States,Fairfield,CT,Connecticut,06604-3413,"1212 Park Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.17754,-73.20081,,A & D Market,,Azure Maps,
19255,United States,Fairfield,CT,Connecticut,06604-4313,"966 Main Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,Downtown Bridgeport,,41.1777,-73.18901,,Downtown Corner,www.ctpost.com,Azure Maps,
3819255,United States,Fairfield,CT,Connecticut,06605-1434,"378 Wood Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17815,-73.20757,,Jz's Grocery & Deli,,Azure Maps,
7719255,United States,Fairfield,CT,Connecticut,06607-1419,"1377 Stratford Avenue, Bridgeport, CT 06607",Bridgeport,Bridgeport,East End,,41.17909,-73.16346,,Mercerves Grocery,,Azure Maps,
1519255,United States,Fairfield,CT,Connecticut,06604-3053,"1411 Park Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.17952,-73.20307,,West Side Market,,Azure Maps,
3219255,United States,Fairfield,CT,Connecticut,06605-1304,"252 Maplewood Avenue, Bridgeport, CT 06605",Bridgeport,Bridgeport,,,41.17981,-73.20661,,J & J Deli & Grocery,,Azure Maps,
8919255,United States,Fairfield,CT,Connecticut,06607-1427,"1515 Stratford Avenue, Bridgeport, CT 06607",Bridgeport,Bridgeport,East End,,41.17987,-73.16129,,Lees Market,,Azure Maps,
519255,United States,Fairfield,CT,Connecticut,06608-2603,"420 Pembroke Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.18,-73.17923,,Pueblo Supermarket,,Azure Maps,
9319255,United States,Fairfield,CT,Connecticut,06607-1400,"1611 Stratford Avenue, Bridgeport, CT 06607",Bridgeport,Bridgeport,East End,,41.18046,-73.15964,,Convenience Brand Grocery,,Azure Maps,
7119255,United States,Fairfield,CT,Connecticut,06607-1134,"693 Connecticut Avenue, Bridgeport, CT 06607",Bridgeport,Bridgeport,East End,,41.18068,-73.16469,,Sunshine Food Market,,Azure Maps,
7219255,United States,Fairfield,CT,Connecticut,06607-1134,"693 Connecticut Avenue, Bridgeport, CT 06607",Bridgeport,Bridgeport,East End,,41.18068,-73.16469,,Torres Variety Grocery,,Azure Maps,
219255,United States,Fairfield,CT,Connecticut,06608-2340,"464 East Main Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.18096,-73.18113,,Caguas Grocery,,Azure Maps,
319255,United States,Fairfield,CT,Connecticut,06608-2300,"505 East Main Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.18152,-73.1811,,Canomania,,Azure Maps,
8519255,United States,Fairfield,CT,Connecticut,06607-1118,"842 Connecticut Avenue, Bridgeport, CT 06607",Bridgeport,Bridgeport,East End,,41.18154,-73.16244,,Connecticut Food Market,,Azure Maps,
4519255,United States,Fairfield,CT,Connecticut,06607-1030,"126 Deacon Street, Bridgeport, CT 06607",Bridgeport,Bridgeport,East End,,41.18206,-73.17002,,Family Groceries,,Azure Maps,
9730712,United States,Fairfield,CT,Connecticut,06825-3219,"2258 Black Rock Turnpike, Fairfield, CT 06825",Fairfield,Fairfield,,,41.18241,-73.25374,,Trader Joe's,locations.traderjoes.com/ct/fairfield/523/,Azure Maps,
3319255,United States,Fairfield,CT,Connecticut,06604-2519,"1683 Park Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.18253,-73.20613,,African British & Caribbean Market,,Azure Maps,
3419255,United States,Fairfield,CT,Connecticut,06604-2519,"1691 Park Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.18261,-73.2062,,Mexicanito El I,,Azure Maps,
1219255,United States,Fairfield,CT,Connecticut,06604-2620,"1012 Grand Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.18267,-73.20242,,K & J Grocery Store,,Azure Maps,
119255,United States,Fairfield,CT,Connecticut,06604-3504,"27 Highland Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.18316,-73.1947,,Larenza Market,,Azure Maps,
7519255,United States,Fairfield,CT,Connecticut,06604-2111,"256 Wade Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.1843,-73.21341,,The Future Grocery,,Azure Maps,
619255,United States,Fairfield,CT,Connecticut,06604-3107,"533 Harral Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.18455,-73.19704,,Junco Market,,Azure Maps,
1119255,United States,Fairfield,CT,Connecticut,06604-3122,"351 Lexington Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.18485,-73.20032,,Sapiaos Grocery Store,,Azure Maps,
8019255,United States,Fairfield,CT,Connecticut,06610-2809,"2 Mill Hill Avenue, Bridgeport, CT 06610",Bridgeport,Bridgeport,,,41.1866,-73.1656,,Eddies Market,,Azure Maps,
8419255,United States,Fairfield,CT,Connecticut,06610-2825,"1316 Barnum Avenue, Bridgeport, CT 06610",Bridgeport,Bridgeport,East End,,41.18661,-73.16476,,Wades Dairy,,Azure Maps,
6823029,United States,Fairfield,CT,Connecticut,06604-3200,"235 Madison Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.18705,-73.19726,,Maribel Grocery,,Azure Maps,
1510,United States,Westchester,NY,New York,10576-2121,"6 Lower Trinity Pass Road, Pound Ridge, NY 10576",Pound Ridge,Pound Ridge,,,41.1871,-73.54967,,Healing Home Foods,www.healinghomefoods.com/,Azure Maps,
719255,United States,Fairfield,CT,Connecticut,06608-2104,"150 Barnum Avenue, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.18738,-73.18608,Meijer,Redbox Meijer,www.redbox.com,Azure Maps,
2219255,United States,Fairfield,CT,Connecticut,06604-3219,"595 Grand Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.18739,-73.19956,,G&E Supermarket,hockersmarkets.com/,Azure Maps,
1619255,United States,Fairfield,CT,Connecticut,06608-1914,"942 East Main Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.18756,-73.18078,,P & M Grocery,,Azure Maps,
2619255,United States,Fairfield,CT,Connecticut,06604-2713,"1217 North Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.18872,-73.2003,,Zaachila Grocery Store,,Azure Maps,
6523029,United States,Fairfield,CT,Connecticut,06604-1622,"1587 Capitol Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.18874,-73.21712,,Family Market,,Azure Maps,
6119255,United States,Fairfield,CT,Connecticut,06610-2728,"1896 Seaview Avenue, Bridgeport, CT 06610",Bridgeport,Bridgeport,,,41.18877,-73.1702,,Corner Market Variety,,Azure Maps,
2319255,United States,Fairfield,CT,Connecticut,06608-1915,"1050 East Main Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.18909,-73.1807,,Compare Foods Supermarket,www.comparesupermarkets.com,Azure Maps,
2119255,United States,Fairfield,CT,Connecticut,06604-3212,"355 Grand Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.18925,-73.1961,,Chaves Grocery & Gifts,,Azure Maps,
8923029,United States,Fairfield,CT,Connecticut,06610-3019,"1796 Barnum Avenue, Bridgeport, CT 06610",Bridgeport,Bridgeport,East End,,41.18927,-73.15712,,I & I Food Store,,Azure Maps,
3619255,United States,Fairfield,CT,Connecticut,06608-1720,"304 Brooks Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19027,-73.17955,,Gurabo Grocery,,Azure Maps,
3019255,United States,Fairfield,CT,Connecticut,06608-1620,"1141 East Main Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19031,-73.18063,,Jamal Market,,Azure Maps,
3519255,United States,Fairfield,CT,Connecticut,06608-1620,"1173 East Main Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19072,-73.18061,,Afro-American Variety Store,,Azure Maps,
2919255,United States,Fairfield,CT,Connecticut,06604-2721,"2018 Main Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,Hollow,,41.19091,-73.19644,,Andrew Deli & Grocery,,Azure Maps,
3119255,United States,Fairfield,CT,Connecticut,06604-2741,"2032 Main Street, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.19096,-73.19647,,Cochy Grocery,,Azure Maps,
227735,United States,Fairfield,CT,Connecticut,06897-4025,"5 River Road, Wilton, CT 06897",Wilton,Wilton,,,41.19098,-73.43041,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
217735,United States,Fairfield,CT,Connecticut,06897-4025,"5 River Road, Wilton, CT 06897",Wilton,Wilton,,,41.19098,-73.43041,,Super Stop & Shop,stores.stopandshop.com/ct/wilton/5-river-road,Azure Maps,
4019255,United States,Fairfield,CT,Connecticut,06608-1721,"382 Brooks Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19135,-73.17948,,Rodriguez Market,,Azure Maps,
4119255,United States,Fairfield,CT,Connecticut,06608-1721,"384 Brooks Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19137,-73.17948,,Ashley Food Market,,Azure Maps,
4319255,United States,Fairfield,CT,Connecticut,06608-1721,"384 Brooks Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19137,-73.17948,,Lamia Grocery,,Azure Maps,
4219255,United States,Fairfield,CT,Connecticut,06608-1721,"384 Brooks Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19137,-73.17948,,Yeli Mini Market,,Azure Maps,
4819255,United States,Fairfield,CT,Connecticut,06608-1743,"1268 Pembroke Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19156,-73.17725,,Florida Supermarket,,Azure Maps,
5023029,United States,Fairfield,CT,Connecticut,06604-1290,"1050 Brooklawn Avenue, Bridgeport, CT 06604",Bridgeport,Bridgeport,,,41.192,-73.2197,,Grocery Village,,Azure Maps,
5123029,United States,Fairfield,CT,Connecticut,06608-1744,"1325 Pembroke Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19223,-73.17714,,Los Muchachos,,Azure Maps,
4123029,United States,Fairfield,CT,Connecticut,06606-5516,"819 Madison Avenue, Bridgeport, CT 06606",Bridgeport,Bridgeport,,,41.19245,-73.20457,,Guelagetza Grocery,,Azure Maps,
8023029,United States,Fairfield,CT,Connecticut,06614-5213,"360 Boston Avenue, Stratford, CT 06614",Stratford,Stratford,,,41.19252,-73.15353,,C-Town,locations.ctownsupermarkets.com/ct-stratford-u41_1u41,Azure Maps,
8523029,United States,Fairfield,CT,Connecticut,06610-2641,"2063 Boston Avenue, Bridgeport, CT 06610",Bridgeport,Bridgeport,,,41.19263,-73.15622,,Boston Avenue Grocery,,Azure Maps,
3719255,United States,Fairfield,CT,Connecticut,06608-1528,"616 William Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19265,-73.18546,,Bayamon Market,,Azure Maps,
4619255,United States,Fairfield,CT,Connecticut,06608-1400,"1335 East Main Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19292,-73.18052,,Grocery Store El GALLO DORADO,,Azure Maps,
3923029,United States,Fairfield,CT,Connecticut,06606-5506,"821 Madison Avenue, Bridgeport, CT 06606",Bridgeport,Bridgeport,,,41.19306,-73.20504,,Bon Preto Supermarket,,Azure Maps,
6723029,United States,Fairfield,CT,Connecticut,06610-2720,"1905 Central Avenue, Bridgeport, CT 06610",Bridgeport,Bridgeport,,,41.1932,-73.16757,,Grocery Central,,Azure Maps,
4623029,United States,Fairfield,CT,Connecticut,06608-1400,"1369 East Main Street, Bridgeport, CT 06608",Bridgeport,Bridgeport,East Side,,41.19333,-73.1805,,Freddy's Market,,Azure Maps,
